Trial Type,Experiment,Tank,Substrate,Plate Position,Obs,Time of Day,DateTime,Nos Stars-L,Nos Stars-R,Nos Stars-Tot,Nos_F,Nos_NF,check,Star_1_size,Star_1_position,Star_1_feeding,Star_2_size,Star_2_pos,Star_2_feeding,Star_3_size,Star_3_pos,Star_3_feeding,Star_4_size,Star_4_pos,Star_4_feeding,Star_5_size,Star_5_position,Star_5_feeding,Star_6_size,Star_6_pos,Star_6_feeding,Star_7_size,Star_7_pos,Star_7_feeding,Star_8_size,Star_8_pos,Star_8_feeding,Star_9_size,Star_9_pos,Star_9_feeding,Star_10_size,Star_10_pos,Star_10_feeding,Star_11_size,Star_11_pos,Star_11_feeding,,,,,,,,,
Preference_substrate,2,4,Slate,4,3,D,25/02/2022 9:00,3,2,5,4,1,0,m,lt,nf,m,lt,f,m,lt,f,m,rt,f,m,rb,f,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,4,Poly,5,3,D,25/02/2022 9:00,2,1,3,1,2,0,m,lt,nf,m,lb,f,m,rt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,4,Slate,6,3,D,25/02/2022 9:00,2,0,2,2,0,0,m,lt,f,m,lt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Slate,1,4,N,25/02/2022 21:00,1,1,2,1,1,0,m,lt,nf,l,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Poly,2,4,N,25/02/2022 21:00,1,3,4,1,3,0,m,lb,f,m,rt,nf,m,rt,nf,m,rb,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Slate,3,4,N,25/02/2022 21:00,1,3,4,0,4,0,m,lb,nf,m,rt,nf,l,rt,nf,m,rt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Poly,4,4,N,25/02/2022 21:00,1,0,1,0,1,0,m,lt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Slate,5,4,N,25/02/2022 21:00,7,0,7,4,3,0,m,lt,nf,m,lt,f,m,lt,nf,m,lt,nf,l,lt,f,m,lb,f,m,lb,f,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Poly,6,4,N,25/02/2022 21:00,3,0,3,1,2,0,m,lt,f,m,lt,nf,m,lt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,1,Other,,4,N,25/02/2022 21:00,2,0,2,0,2,0,m,glass,nf,m,glass,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Poly,1,4,N,25/02/2022 21:00,1,2,3,1,2,0,m,lt,nf,m,rt,nf,m,rb,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Slate,2,4,N,25/02/2022 21:00,3,0,3,2,1,0,m,lt,f,m,lt,nf,l,lt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Poly,3,4,N,25/02/2022 21:00,3,2,5,2,3,0,l,lt,f,m,lt,nf,m,lt,nf,m,rt,f,m,rb,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Slate,4,4,N,25/02/2022 21:00,2,0,2,1,1,0,m,lt,f,m,lt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Poly,5,4,N,25/02/2022 21:00,3,2,5,5,0,0,m,lb,f,m,lb,f,l,lt,f,m,rt,f,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,2,Slate,6,4,N,25/02/2022 21:00,4,1,5,5,0,0,l,lt,f,m,lt,f,m,lt,f,m,lb,f,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Slate,1,4,N,25/02/2022 21:00,0,2,2,1,1,0,m,rt,f,m,rt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Poly,2,4,N,25/02/2022 21:00,4,3,7,5,2,0,l,lt,f,l,lt,f,m,lt,f,m,lt,f,m,rt,nf,m,rt,nf,l,rt,f,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Slate,3,4,N,25/02/2022 21:00,1,2,3,1,1,1,m,lt,nf,m,rb,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Poly,4,4,N,25/02/2022 21:00,4,2,6,0,6,0,m,lt,nf,m,lt,nf,m,lt,nf,m,lb,nf,m,rt,nf,m,rt,nf,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Slate,5,4,N,25/02/2022 21:00,3,2,5,4,1,0,m,lt,f,m,lt,f,m,lt,nf,m,rt,f,m,rt,f,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,3,Poly,6,4,N,25/02/2022 21:00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,4,Poly,1,4,N,25/02/2022 21:00,0,1,1,0,1,0,m,rt,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,4,Slate,2,4,N,25/02/2022 21:00,2,1,3,1,2,0,m,lt,f,m,lt,nf,m,rb,nf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference_substrate,2,4,Poly,3,4,N,25/02/2022 21:00,2,4,6,3,3,0,m,lb,f,m,lt,nf,m,rt,nf,m,rt,nf,l,rt,f,l,rt,f,,,,,,,,,,,,,,,,,,,,,,,,
